GENE	Control1SE	Control2SE	Nitrate1SE	Nitrate2SE
AT5G07380	0	0	0	0
AT5G62320	0	0	0	0
AT1G42525	0	0	0	0
AT1G64355	0	0	0	0
AT3G02270	0	0	0	0
AT1G04820	236	310	153	169
AT1G33050	25	26	30	25
AT3G42770	0	0	0	0
AT2G39210	118	144	63	68
AT5G23950	5	1	2	1
AT5G45110	54	32	31	21
AT2G47040	0	0	0	0
AT3G08650	79	134	82	58
AT3G48231	0	0	0	0
AT2G28630	2	3	1	1
AT2G03290	0	0	0	0
AT3G61150	9	7	3	4
AT1G77810	11	11	12	6
AT3G12970	1	4	4	0
AT5G52990	10	13	10	8
AT4G30930	19	26	27	16
AT1G16210	55	57	38	35
AT3G45955	1	1	0	0
AT3G61980	13	16	11	10
